Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;29;these niggas call but never get no answer;dh_iy_z n_ih_g_ae_s k_ao_l b_ah_t n_eh_v_er g_eh_t n_ow ae_n_s_er
a;71;im in this bitch aye im so incredible;ay_m ih_n dh_ih_s b_ih_ch ay ay_m s_ow ih_n_k_r_eh_d_ah_b_ah_l
d;21;dumb shit;d_ah_m sh_iy_t
d;47;dumb shit;d_ah_m sh_iy_t
l;6;and my change so cold;ah_n_d m_ay ch_ey_n_jh s_ow k_ow_l_d
g;52;that shoe gun;dh_ae_t sh_uw g_ah_n
h;43;you (is) not a gangster you a mother fucking meet the skies;y_uw ih_z n_ax_t ah g_ae_ng_s_t_er y_uw ah m_ah_dh_er f_ah_k_ih_ng m_iy_t dh_ah s_k_ay_z
r;62;and I barely put hoes in my schedule;ah_n_d ay b_eh_r_l_iy p_uh_t hh_ow_z ih_n m_ay sh_eh_d_y_uw_l
g;19;that shoe gun;dh_ae_t sh_uw g_ah_n
a;64;sipping on lean straight from the medical;s_ih_p_ih_ng aa_n l_iy_n s_t_r_ey_t f_r_ah_m dh_ah m_eh_d_ah_k_ah_l
c;28;you can call me young captain chandlers;y_uw k_ah_n k_ao_l m_iy y_ah_ng k_ae_p_t_ah_n ch_ae_n_d_l_er_z
b;7;all my niggas so cold hearted;ao_l m_ay n_ih_g_ae_s s_ow k_ow_l_d hh_aa_r_t_ah_d
a;74;im in a foreign wheel im so in gettable;ih_m ih_n ah f_ao_r_ah_n w_iy_l ih_m s_ow ih_n_ch g_eh_t_t_ey1_b_ah_l
c;32;i need a hundred thousand fucking pampers;ay n_iy_d ah hh_ah_n_d_r_ah_d th_aw_z_ah_n_d f_ah_k_ih_ng p_ae_m_p_er_z
e;56;you writing like drum sticks;y_uw r_ay_t_ih_ng l_ay_k d_r_ah_m s_t_ih_k_s
c;36;black diamonds light blue shirt I can make her curl comes with the package;b_l_ae_k d_ay_m_ah_n_d_z l_ay_t b_l_uw sh_er_t ay k_ah_n m_ey_k hh_er k_er_l k_ah_m_z w_ih_dh dh_ah p_ae_k_ih_jh
b;8;and all my bitches love barbies;ah_n_d ao_l m_ay b_ih_ch_ah_z l_ah_v b_aa_r_b_iy_z
o;40;4 blunts put together im mister expander;ah_ae b_l_ah_n_t_s p_uh_t t_ah_g_eh_dh_er ay_m m_ih_s_t_er ih_k_s_p_ae_n_d_er_r
a;57;dumb shit x7;d_ah_m sh_iy_t eh_k_s_ae
b;84;choppers down your block;ch_aa_p_er_z d_aw_n y_ao_r b_l_aa_k
a;86;dumb shit x7;d_ah_m sh_iy_t eh_k_s_ae
c;39;ima a young legend im the first I am young deon sanders;ih_m_ah ey y_ah_ng l_eh_jh_ah_n_d ay_m dh_ah f_er_s_t ay ae_m y_ah_ng d_iy_aa_n s_ae_n_d_er_z
c;12;agh;ae_g_ae
d;54;dumb shit;d_ah_m sh_iy_t
e;16;my blunt lit;m_ay b_l_ah_n_t l_ih_t
e;23;you writing like drum sticks;y_uw r_ay_t_ih_ng l_ay_k d_r_ah_m s_t_ih_k_s
c;26;all my bitches so bad but in the bed they have no standards;ao_l m_ay b_ih_ch_ah_z s_ow b_ae_d b_ah_t ih_n dh_ah b_eh_d dh_ey hh_ae_v n_ow s_t_ae_n_d_er_d_z
n;35;so the youngin had to go stamp her;s_ow dh_ah y_ah_n_jh_ih_n hh_ae_d t_uw g_ow s_t_ae_m_p hh_er
c;38;and I put this on my family and please dont get slandered;ah_n_d ay p_uh_t dh_ih_s aa_n m_ay f_ae_m_ax_l_ih ah_n_d p_l_iy_z d_aa_n_b g_ih_t s_l_ae_n_d_er_d
c;37;smoking piles of the reef sg feel like a commander;s_m_ow_k_ih_ng p_ay_l_z ah_v dh_ah r_iy_f s_jh_iy f_iy_l l_ay_k ah k_ah_m_ae_n_d_er
q;61;im a pimp so to hoes im selling you;ih_m ah p_ih_m_p s_ow t_uw hh_ow_z ih_m s_eh_l_ih_ng y_uw
e;85;you writing like drum sticks;y_uw r_ay_t_ih_ng l_ay_k d_r_ah_m s_t_ih_k_s
d;14;dumb shit;d_ah_m sh_iy_t
b;11;and ima still run my city if I catch a mother fucking charlie;ah_n_d ih_m_ah s_t_ih_l r_ah_n m_ay s_ih_t_iy ah_f ay k_ae_ch ah m_ah_dh_er f_ah_k_ih_ng ch_aa_r_l_iy
m;53;automatic;ao_t_ax_m_ae_t_ih_k
f;50;im smokin n drivin- ;ay_m s_m_ow_iy_n eh_n  d_r_ay_v_ih_ng_ae
h;41;im burying all my money and spending it very very very wisely;ih_m b_eh_r_iy_ih_ng ao_l m_ay m_ah_n_iy ah_n_d s_p_eh_n_d_ih_ng ih_t v_eh_r_iy v_eh_r_iy v_eh_r_iy w_ay_z_l_iy
d;34;i met a bad bitch across the seas;ay m_eh_t ah b_ae_d b_ih_ch ah_k_r_ao_s dh_ah s_iy_z
e;78;my blunt lit;m_ay b_l_ah_n_t l_ih_t
b;4;nation gang good we never ever be starving;n_ey_sh_ah_n g_ae_ng g_uh_d w_iy n_eh_v_er eh_v_er b_iy s_t_aa_r_v_ih_ng
b;55;choppers down your block;ch_aa_p_er_z d_aw_n y_ao_r b_l_aa_k
e;49;my blunt lit;m_ay b_l_ah_n_t l_ih_t
d;76;dumb shit;d_ah_m sh_iy_t
d;83;dumb shit;d_ah_m sh_iy_t
