Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;21;o What a feeling the true meaning what it means to be a human being;ow w_ah_t ah f_iy_l_ih_ng dh_ah t_r_uw m_iy_n_ih_ng w_ah_t ih_t m_iy_n_z t_uw b_iy ah hh_y_uw_m_ax_n b_iy_ih_ng
c;28;you ni99as weight me down like anchors;y_uw n_iy_9_ax_s w_ey_t m_iy d_aw_n l_ay_k ae_ng_k_er_z
d;27;certain shit We don-t allow;s_er_t_ah_n sh_iy_t w_iy d_ow_n_t ah_l_aw
h;41;thats just how I roll;dh_ae_t_s jh_ah_s_t hh_aw ay r_ow_l
h;10;(is) that what means something to you;ih_z dh_ae_t w_ah_t m_iy_n_z s_ah_m_th_ih_ng t_uw y_uw
b;35;you no matter Ha;y_uw n_ow m_ae_t_er hh_aa
c;8;how MANY FOLLOWERS You HAVE;hh_aw m_eh_n_iy f_aa_l_ow_er_z y_uw hh_ae_v
c;33;im X Cancer;ay_m eh_k_s k_ae_n_s_er
d;9;(is) that what matters (is) that what you care about;ih_z dh_ae_t w_ah_t m_ae_t_er_z ih_z dh_ae_t w_ah_t y_uw k_eh_r ah_b_aw_t
h;0;(as) I stand before you;eh_z ay s_t_ae_n_d b_iy_f_ao_r y_uw
c;32;im X Malcolm;ay_m eh_k_s m_ae_l_k_ah_m
c;31;but yuh better have the answers;b_ah_t y_uw_ae b_eh_t_er hh_ae_v dh_ah ae_n_s_er_z
c;34;im X Atom;ay_m eh_k_s ae_t_ah_m
n;18;mama say son Don-T put your hat where you can-t reach it;m_aa_m_ah s_ey s_ah_n d_ow_n_t p_uh_t y_ao_r hh_ae_t w_eh_r y_uw k_ae_n_t r_iy_ch ih_t
i;1;i confess myself disappointed;ay k_ah_n_f_eh_s m_ay_s_eh_l_f d_ih_s_ax_p_oy_n_t_ih_d
d;26;we The ship we say it sternly so you best gon take a bow;w_iy dh_ah sh_ih_p w_iy s_ey ih_t s_t_er_n_l_iy s_ow y_uw b_eh_s_t g_aa_n t_ey_k ah b_aw
c;12;to us This (is) just vanity;t_uw ah_s dh_ih_s ih_z jh_ah_s_t v_ae_n_ah_t_iy
g;30;we out rank friggin blank yuh;w_iy aw_t r_ae_ng_k f_r_ih_g_g_iy_n b_l_ae_ng_k y_uw_ae
p;37;cough Cough aww He coming in second place;k_aa_f k_aa_f ao_ae hh_iy k_ah_m_ih_ng ih_n s_eh_k_ah_n_d p_l_ey_s
f;19;so I placed it to the back cause my paths the only thing Im seeing;s_ow ay p_l_ey_s_t ih_t t_uw dh_ah b_ae_k k_aa_z m_ay p_ae_dh_z dh_ah ow_n_l_iy th_ih_ng ay_m s_iy_ih_ng
l;3;that You would be different;dh_ae_t y_uw w_uh_d b_iy d_ih_f_r_ax_n_t
c;38;time weights for no man fatty;t_ay_m w_ey_t_s f_ao_r n_ow m_ae_n f_ae_t_iy
e;11;that means nothing to us;dh_ae_t m_iy_n_z n_ah_th_ih_ng t_uw ah_s
a;36;what What lets pause for a second;w_ah_t w_ah_t w_iy_s p_ao_z f_ao_r ah s_eh_k_ah_n_d
m;14;where we are from We are warriors;w_eh_r w_iy aa_r f_r_ah_m w_iy aa_r w_ao_r_iy_er_z
b;4;that You would not care about followers;dh_ae_t y_uw w_uh_d n_ax_t k_eh_r ah_b_aw_t f_aa_l_ow_er_z
q;39;i be stunting on you Ni99As now get to stunting like yo daddy huhhhh;ay b_iy s_t_ah_n_t_ih_ng aa_n y_uw  n_aw g_eh_t t_uw s_t_ah_n_t_ih_ng l_ay_k y_ow d_ae_d_iy hh_uw_h_h
