Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;1;the only place you can touch a woman to maker her go crazy;dh_iy ow_n_l_iy p_l_ey_s y_uw k_ae_n t_ah_ch ey w_uh_m_ah_n t_ah m_ey_k_er hh_er g_ow k_r_ey_z_iy
a;0;and they say;ah_n_d dh_ey s_ey
d;6;lose her V to her dearest;l_uw_z hh_er v_iy t_uw hh_er d_ih_r_ah_s_t
i;38;theres heartbreak everyday;dh_eh_r_s hh_aa_r_t_b_r_ey_k eh_v_r_iy_d_ey
c;10;and four years on this nigga playing them games man;ah_n_d f_ao_r y_ih_r_z aa_n dh_ih_s n_ih_g_ae p_l_ey_ih_ng dh_eh_m g_ey_m_z m_ae_n
e;66;she never did him wrong;sh_iy n_eh_v_er d_ih_d hh_ih_m r_ao_ng
c;5;girl had a game plan;g_er_l hh_ae_d ah g_ey_m p_l_ae_n
f;14;how she gon let that slide;hh_aw sh_iy g_aa_n l_eh_t dh_ae_t s_l_ay_d
c;4;such a shame man;s_ah_ch ah sh_ey_m m_ae_n
b;2;(is) her heart;ah_z hh_er hh_aa_r_t
h;42;she just upping the speed;sh_iy jh_ah_s_t ah_p_ih_ng dh_iy s_p_iy_d
c;49;carried one on her back;k_ae_r_iy_d w_ah_n aa_n hh_er b_ae_k
m;61;she let that mother fucker burn;sh_iy l_eh_t dh_ae_t m_ah_dh_er f_ah_k_er_r b_er_n
l;54;really thought it would cure;r_iy_l_iy th_ao_t ah_t w_uh_d k_y_uh_r
b;35;speaking to her conscience;s_p_iy_k_ih_ng t_uw hh_er k_aa_n_sh_ah_n_s
c;69;such a shame man girl had a game plan;s_ah_ch ah sh_ey_m m_ae_n g_er_l hh_ae_d ah g_ey_m p_l_ae_n
i;53;she just wanted revenge;sh_iy jh_ah_s_t w_ao_n_t_ah_d r_iy_v_eh_n_jh
l;52;i don-t think that she-s sure;ay d_ow_n_t th_ih_ng_k dh_ae_t s_hh_iy_z sh_uh_r
a;26;arms shaking;aa_r_m_z sh_ey_k_ih_ng
g;51;where exactly she going;hh_w_eh_r ih_g_z_ae_k_t_l_iy sh_iy g_ow_ah_n
q;47;2 black bags man I think you can guess what;ah_ae b_l_ae_k b_ae_g_z m_ae_n ay th_ih_ng_k y_uw k_ah_n g_eh_s w_ah_t
h;22;now her bedrooms feeling smaller and the smells starting to reek;n_aw hh_er b_eh_d_r_uw_m_z f_iy_l_ih_ng s_m_ao_l_er ah_n_d dh_ah s_m_eh_l_z s_t_aa_r_t_ih_ng t_uw r_iy_k
d;39;you think you different dear;y_uw th_ih_ng_k y_uw d_ih_f_r_ah_n_t d_ih_r
a;9;we ain-t changed since the caveman;w_iy ey_n_t ch_ey_n_jh_d s_ih_n_s dh_ah k_ey_v_m_ae_n
d;34;cruising with some gear;k_r_uw_z_ih_ng w_ih_dh s_ah_m g_ih_r
g;58;text her lover All I ever wanted was you on my own;t_eh_k_s_t hh_er l_ah_v_er ao_l ay eh_v_er w_oh_n_t_ih_d w_ah_z y_uw aa_n m_ay ow_n
g;57;put down her bags then she picked up her phone;p_uh_t d_aw_n hh_er b_ae_g_z dh_eh_n sh_iy p_ih_k_t ah_p hh_er f_ow_n
i;25;palms sweaty;p_aa_m_z s_w_eh_t_iy
a;28;and she ain-t got the heart to do it cos her heart-s breaking;ah_n_d sh_iy ey_n_t g_aa_t dh_ah hh_aa_r_t t_uw d_uw ih_t k_ao_s hh_er hh_aa_r_t_s b_r_ey_k_ih_ng
m;64;she let that motherfucker burn;sh_iy l_eh_t dh_ae_t m_ao_th_eh_r_f_uw_k_k_ax_r b_er_n
m;60;and (as) the world turn;ah_n_d ae_z dh_ah w_er_l_d t_er_n
d;24;looked in the mirror;l_uh_k_t ih_n dh_ah m_ih_r_er
h;20;friends keep ringing but she don-t even wanna speak;f_r_eh_n_d_z k_iy_p r_ih_ng_ih_ng b_ah_t sh_iy d_ow_n_t iy_v_ah_n w_aa_n_ah s_p_iy_k
f;16;wept like her mother died;w_eh_p_t l_ay_k hh_er m_ah_dh_er d_ay_d
o;33;now she outta town;n_aw sh_iy uw_t_ah t_aw_n
c;7;spend her life with the same man;s_p_eh_n_d hh_er l_ay_f w_ih_dh dh_ah s_ey_m m_ae_n
f;17;but she can-t help but be angry this mother fucker lied;b_ah_t sh_iy k_ae_n_t hh_eh_l_p b_ah_t b_iy ae_ng_g_r_iy dh_ih_s m_ah_dh_er f_ah_k_er_r l_ay_d
e;55;but the pain in her stride ain-t ever been this sore;b_ah_t dh_iy p_ey_n ih_n_ch hh_er s_t_r_ay_d ey_n_t eh_v_er b_ih_n dh_ih_s s_ao_r
f;67;forever by his side;f_er_eh_v_er b_ay hh_ih_z s_ay_d
