Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
u;30;my deep literature reaches extreme temperatures;m_ay d_iy_p l_ih_t_er_ah_ch_er r_iy_ch_ah_z ih_k_s_t_r_iy_m t_eh_m_p_r_ah_ch_er_z
o;34;and Now you knee deep in it;ah_n_d n_aw y_uw n_iy d_iy_p ih_n ih_t
c;5;listen My position (is) Afghanistan;l_ih_s_ah_n m_ay p_ah_z_ih_sh_ah_n ih_z ae_f_g_ae_n_ah_s_t_ae2_n
f;48;men drink away All the stress of the day;m_eh_n d_r_ih_ng_k ah_w_ey ao_l dh_ah s_t_r_eh_s ah_v dh_ah d_ey
f;17;while youre simple and plain;w_ay_l y_uw_r s_ih_m_p_ah_l ah_n_d p_l_ey_n
a;33;sweet Jesus He brings demons and heat seeking Greek legions with each speech;s_w_iy_t jh_iy_z_ah_s hh_iy b_r_ih_ng_z d_iy_m_ah_n_z ah_n_d hh_iy_t s_iy_k_ih_ng g_r_iy_k l_iy_jh_ah_n_z w_ih_dh iy_ch s_p_iy_ch
e;31;i don-t do autographs I leave my heat signature;ay d_ow_n_t d_uw ao_t_ah_g_r_ae_f_s ay l_iy_v m_ay hh_iy_t s_ih_g_n_ah_ch_er
a;1;lost In dreams my style on parole broke out of jail free;l_ao_s_t ih_n d_r_iy_m_z m_ay s_t_ay_l aa_n p_er_ow_l b_r_ow_k aw_t ah_v jh_ey_l f_r_iy
d;47;the poison that (is) poverty (is) all too potent;dh_ah p_oy_z_ah_n dh_ae_t ih_z p_aa_v_er_t_iy ih_z ao_l t_uw p_ow_t_ah_n_t
q;14;i demolish like a Facebook;ay d_ah_m_aa_l_ih_sh l_ay_k ah 
g;22;didn-t catch the pun Spell it out;d_ih_d_n_t k_ae_ch dh_ah p_ah_n s_p_eh_l ih_t aw_t
f;18;i hit the ground running hard while youre limping away;ay hh_ih_t dh_ah g_r_aw_n_d r_ah_n_ih_ng hh_aa_r_d w_ay_l y_uw_r l_ih_m_p_ih_ng ah_w_ey
a;58;this (is) real hip hop ink to papyrus;dh_ih_s ih_z r_iy_l hh_ih_p hh_aa_p ih_ng_k t_uw p_ah_p_iy_r_ax_s
e;51;plenty of friends who turned rat mad issues;p_l_eh_n_t_iy ah_v f_r_eh_n_d_z hh_uw t_er_n_d r_ae_t m_ae_d ih_sh_uw_z
a;36;im Deep like whats beneath the sands of Egypt;ih_m d_iy_p l_ay_k w_ah_t_s b_ah_n_iy_th dh_ah s_ae_n_d_z ah_v iy_jh_ah_p_t
l;52;to put (is) (as) a curse (is) something that Ill never do;t_uw p_uh_t ih_z ae_z ah k_er_s ih_z s_ah_m_th_ih_ng dh_ae_t ay_l n_eh_v_er d_uw
m;15;status theres no dislike option;s_t_ey_t_ax_s dh_eh_r_s n_ow d_ih_s_l_ay_k aa_p_sh_ah_n
g;42;my Brain (is) Braun Ill never sell it out;m_ay b_r_ey_n ih_z b_r_ao_n ih_l n_eh_v_er s_eh_l ah_t aw_t
f;16;ill Pop pimples on your brain;ay_l p_aa_p p_ih_m_p_ah_l_z aa_n y_ao_r b_r_ey_n
m;45;overdosed on reality falling from cloud nine;ow_v_er_d_ow_s_t aa_n r_iy_ae_l_ah_t_iy f_aa_l_ih_ng f_r_ah_m k_l_aw_d n_ay_n
e;28;way before the birds and fish;w_ey b_ah_f_ao_r dh_ah b_er_d_z ah_n_d f_ih_sh
b;21;that G on E That-S why hes gone;dh_ae_t jh_iy aa_n iy dh_ae_t_s w_ay hh_iy_s g_ao_n
g;41;ha …  well take your time and spell it out;hh_ah  ah_ae w_eh_l t_ey_k y_ao_r t_ay_m ah_n_d s_p_eh_l ih_t aw_t
f;49;an old woman walks by me begging for change;ae_n ow_l_d w_uh_m_ah_n w_ao_k_s b_ay m_iy b_eh_g_ih_ng f_ao_r ch_ey_n_jh
h;54;these are just my thoughts and theyre something that I will express;dh_iy_z aa_r jh_ah_s_t m_ay th_ao_t_s ah_n_d dh_ey_r s_ah_m_th_ih_ng dh_ae_t ay w_ah_l ih_k_s_p_r_eh_s
