Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;39;i used to get ridiculed for thinking wearing suits was cool;ay y_uw_z_d t_uw g_eh_t r_ih_d_ah_k_y_uw_l_d f_ao_r th_ih_ng_k_ah_ng w_eh_r_ih_ng s_uw_t_s w_ah_z k_uw_l
h;40;almost every time Ive been told That life don-t suit ya Jules;ao_l_m_ow_s_t eh_v_er_iy t_ay_m ay_v b_ih_n t_ow_l_d dh_ae_t l_ay_f d_ow_n_t s_uw_t y_aa jh_uw_l_z
h;41;and Im smart (as) fuck but Ive been told by useless fools;ah_n_d ay_m s_m_aa_r_t ae_z f_ah_k b_ah_t ay_v b_ih_n t_ow_l_d b_ay y_uw_s_l_ah_s f_uw_l_z
t;42;that if I follow the money itll make me completely whole;dh_ae_t ah_f ay f_aa_l_ow dh_ah m_ah_n_iy ih_t_l m_ey_k m_iy k_ah_m_p_l_iy_t_l_iy hh_ow_l
b;43;whatever anything anyone else has done good Ive done better;w_ah_t_eh_v_er eh_n_iy_th_ih_ng eh_n_iy_w_ah_n eh_l_s hh_ah_z d_ah_n g_uh_d ay_v d_ah_n b_eh_t_er
e;44;but some-ll tell ya at sixteen my wits were intensely swift;b_ah_t s_l_oh t_eh_l y_aa ae_t s_ih_k_s_t_iy_n m_ay w_ih_t_s w_er ih_n_t_eh_n_s_l_iy s_w_ih_f_t
e;45;picked a bit til I could hit me licks;p_ih_k_t ah b_ih_t t_ih_l ay k_uh_d hh_ih_t m_iy l_ih_k_s
e;46;try to stick it in the pretty chicks;t_r_ay t_uw s_t_ih_k ih_t ih_n dh_ah p_r_ih_t_iy ch_ih_k_s
u;47;but theyre harder than Mayweather reading Harry Potter sentences;b_ah_t dh_ey_r hh_aa_r_d_er dh_ae_n m_ey_w_eh_dh_er r_iy_d_ih_ng hh_eh_r_iy p_aa_t_er s_eh_n_t_ah_n_s_ah_z
i;48;im barely an adult and Ive managed well enough;ay_m b_eh_r_l_iy ae_n ah_d_ah_l_t ah_n_d ay_v m_ae_n_ah_jh_d w_eh_l ah_n_ah_f
i;49;haven-t landed in the cut or been bandaged for more than cuts;hh_ae_v_n_t l_ae_n_d_ah_d ih_n dh_ah k_ah_t ao_r b_ih_n b_ae_n_d_ih_jh_d f_ao_r m_ao_r dh_ae_n k_ah_t_s
i;50;grasped a silver tongue and still (as) candid (as) a blunt;g_r_ae_s_p_t ah s_ih_l_v_er t_ah_ng ah_n_d s_t_ih_l ae_z k_ae_n_d_ah_d ae_z ah b_l_ah_n_t
i;51;the way I compare to the rest (is) like a commander to his grunts;dh_ah w_ey ay k_ah_m_p_eh_r t_uw dh_ah r_eh_s_t ih_z l_ay_k ah k_ah_m_ae_n_d_er t_uw hh_ih_z g_r_ah_n_t_s
a;52;why (is) supposedly the only way to be successful (is) through college degrees;w_ay ih_z s_ah_p_ow_z_ah_d_l_iy dh_ah ow_n_l_iy w_ey t_uw b_iy s_ah_k_s_eh_s_f_ah_l ih_z th_r_uw k_aa_l_ih_jh d_ih_g_r_iy_z
o;53;man that bothers me I sought harmony and fought for me;m_ae_n dh_ae_t b_aa_dh_er_z m_iy ay s_ao_t hh_aa_r_m_ah_n_iy ah_n_d f_ao_t f_ao_r m_iy
f;54;pardon me I lost my train of thought my apologies;p_aa_r_d_ah_n m_iy ay l_ao_s_t m_ay t_r_ey_n ah_v th_ao_t m_ay ah_p_aa_l_ah_jh_iy_z
e;56;but Ill just sing;b_ah_t ay_l jh_ah_s_t s_ih_ng
b;58;be da bop x4;b_iy d_ae b_aa_p eh_k_s_ae
c;59;at three my moms would read some awful story about how to beat the odds;ae_t th_r_iy m_ay m_aa_m_z w_uh_d r_iy_d s_ah_m aa_f_ah_l s_t_ao_r_iy ah_b_aw_t hh_aw t_uw b_iy_t dh_ah aa_d_z
c;60;ive tried to be the man that she could look up at and see in stars;ay_v t_r_ay_d t_uw b_iy dh_ah m_ae_n dh_ae_t sh_iy k_uh_d l_uh_k ah_p ae_t ah_n_d s_iy ih_n s_t_aa_r_z
c;61;but now I bet she looks down on me ever since Ive seized this art;b_ah_t n_aw ay b_eh_t sh_iy l_uh_k_s d_aw_n aa_n m_iy eh_v_er s_ih_n_s ay_v s_iy_z_d dh_ih_s aa_r_t
b;62;be da bop x4;b_iy d_ae b_aa_p eh_k_s_ae
c;63;money-s the real schedule one drug we all can-t seem to stop;m_ah_n_iy_z dh_ah r_iy_l sh_eh_d_y_uw_l w_ah_n d_r_ah_g w_iy ao_l k_ae_n_t s_iy_m t_uw s_t_aa_p
c;64;the only ones to pay to live on this planet like we can leave this rock;dh_ah ow_n_l_iy w_ah_n_z t_uw p_ey t_uw l_ay_v aa_n dh_ih_s p_l_ae_n_ah_t l_ay_k w_iy k_ae_n l_iy_v dh_ih_s r_aa_k
c;65;this needs to stop Ill fight until I bleed out or drop;dh_ih_s n_iy_d_z t_uw s_t_aa_p ay_l f_ay_t ah_n_t_ih_l ay b_l_iy_d aw_t ao_r d_r_aa_p
l;67;currently its common courtesy to repay with cotton currency;k_er_ah_n_t_l_iy ih_t_s k_aa_m_ah_n k_er_t_ah_s_iy t_uw r_iy_p_ey w_ih_dh k_aa_t_ah_n k_er_ah_n_s_iy
l;68;that (is) tainted and thats our biggest problem certainly;dh_ae_t ih_z t_ey_n_t_ah_d ah_n_d dh_ae_t_s aw_r b_ih_g_ah_s_t p_r_aa_b_l_ah_m s_er_t_ah_n_l_iy
w;69;i think the world would be better off if;ay th_ih_ng_k dh_ah w_er_l_d w_uh_d b_iy b_eh_t_er ao_f ah_f
o;70;everyone started burning green instead of dreams its hurting me;eh_v_r_iy_w_ah_n s_t_aa_r_t_ah_d b_er_n_ih_ng g_r_iy_n ih_n_s_t_eh_d ah_v d_r_iy_m_z ih_t_s hh_er_t_ih_ng m_iy
l;71;we murder teens by making them serve over seas turned burgundy;w_iy m_er_d_er t_iy_n_z b_ay m_ey_k_ih_ng dh_eh_m s_er_v ow_v_er s_iy_z t_er_n_d b_er_g_ah_n_d_iy
a;72;for personal greed and tell them (is) in the country-s needs;f_ao_r p_er_s_ah_n_ah_l g_r_iy_d ah_n_d t_eh_l dh_eh_m ih_z ih_n dh_ah k_ah_n_t_r_iy_z n_iy_d_z
a;73;how much longer til we open our eyes and fucking see;hh_aw m_ah_ch l_ao_ng_g_er t_ih_l w_iy ow_p_ah_n aw_r ay_z ah_n_d f_ah_k_ih_ng s_iy
x;74;that the human race (as) a whole (is) crumbling;dh_ae_t dh_ah hh_y_uw_m_ax_n r_ey_s ae_z ah hh_ow_l ih_z k_r_ah_m_b_ah_l_ih_ng
a;75;all because of the fruit thats grown off of money trees;ao_l b_ih_k_ao_z ah_v dh_ah f_r_uw_t dh_ae_t_s g_r_ow_n ao_f ah_v m_ah_n_iy t_r_iy_z
m;76;but if we all don-t get our heads up out our ass;b_ah_t ah_f w_iy ao_l d_ow_n_t g_eh_t aw_r hh_eh_d_z ah_p aw_t aw_r ae_s
m;77;we could end up stumbling down a path;w_iy k_uh_d eh_n_d ah_p s_t_ah_m_b_l_ih_ng d_aw_n ah p_ae_th
d;78;of brash thinking on fast ways we can be cash making;ah_v b_r_ae_sh th_ih_ng_k_ah_ng aa_n f_ae_s_t w_ey_z w_iy k_ah_n b_iy k_ae_sh m_ey_k_ih_ng
y;79;over the laughs made with bad ass friends n I can-t stop it;ow_v_er dh_ah l_ae_f_s m_ey_d w_ih_dh b_ae_d ae_s f_r_eh_n_d_z eh_n ay k_ae_n_t s_t_aa_p ih_t
z;80;even though Im trying to be the man God (is);iy_v_ah_n dh_ow ay_m t_r_ay_ih_ng t_uw b_iy dh_ah m_ae_n g_aa_d ih_z
c;81;but still through all this constant nonsense;b_ah_t s_t_ih_l th_r_uw ao_l dh_ih_s k_aa_n_s_t_ah_n_t n_aa_n_s_eh_n_s
c;82;whats hardest (is) the garbage that gets our 1 Percenters pardoned;w_ah_t_s hh_aa_r_d_ah_s_t ih_z dh_ah g_aa_r_b_ih_jh dh_ae_t g_eh_t_s aw_r ah_ae  p_aa_r_d_ah_n_d
aa;83;if pro (is) the opposite of con then whats the opposite of progress;ah_f p_r_ow ih_z dh_ah oh_p_ax_z_ih_t ah_v k_aa_n dh_eh_n w_ah_t_s dh_ah oh_p_ax_z_ih_t ah_v p_r_ow_g_r_eh_s
c;84;this pompous economic market-s causing profit for the gossip columns;dh_ih_s p_aa_m_p_ah_s iy_k_ax_n_oh_m_ih_k m_aa_r_k_ah_t_s k_aa_z_ih_ng p_r_aa_f_ah_t f_ao_r dh_ah g_aa_s_ah_p k_aa_l_ah_m_z
c;85;and this life (is) all we know and thats where we got a problem;ah_n_d dh_ih_s l_ay_f ih_z ao_l w_iy n_ow ah_n_d dh_ae_t_s w_eh_r w_iy g_aa_t ah p_r_aa_b_l_ah_m
bb;86;im not trying to reiterate Nas or Rakim;ay_m n_ax_t t_r_ay_ih_ng t_uw r_iy_ih_t_er_ey_t N_ae_s ao_r R_ae_k_ax_m
cc;87;but we should stop the violence over petty shit like rocks n diamonds;b_ah_t w_iy sh_uh_d s_t_aa_p dh_ah v_ay_ah_l_ah_n_s ow_v_er p_eh_t_iy sh_iy_t l_ay_k r_aa_k_s eh_n d_ay_m_ah_n_d_z
c;88;i can already picture my son even though Im not a father;ay k_ah_n ao_l_r_eh_d_iy p_ih_k_ch_er m_ay s_ah_n iy_v_ah_n dh_ow ay_m n_ax_t ah f_aa_dh_er
i;89;lost in all the product our father-s brought down on us;l_ao_s_t ih_n ao_l dh_ah p_r_aa_d_ah_k_t aw_r f_aa_dh_er_z b_r_ao_t d_aw_n aa_n ah_s
c;90;to piece through all their squabbles over profit;t_uw p_iy_s th_r_uw ao_l dh_eh_r s_k_w_aa_b_ah_l_z ow_v_er p_r_aa_f_ah_t
c;91;no matter how inhumane it got to be Ive sought harmony;n_ow m_ae_t_er hh_aw ih_n_hh_y_uw_m_ey_n ih_t g_aa_t t_uw b_iy ay_v s_ao_t hh_aa_r_m_ah_n_iy
f;92;and fought for me pardon me Ive lost my train of thought my apologies;ah_n_d f_ao_t f_ao_r m_iy p_aa_r_d_ah_n m_iy ay_v l_ao_s_t m_ay t_r_ey_n ah_v th_ao_t m_ay ah_p_aa_l_ah_jh_iy_z
b;94;be da bop x4;b_iy d_ae b_aa_p eh_k_s_ae
c;95;money-s the real schedule one drug we all can-t seem to stop;m_ah_n_iy_z dh_ah r_iy_l sh_eh_d_y_uw_l w_ah_n d_r_ah_g w_iy ao_l k_ae_n_t s_iy_m t_uw s_t_aa_p
c;96;the only ones to pay to live on this planet like we can leave this rock;dh_ah ow_n_l_iy w_ah_n_z t_uw p_ey t_uw l_ay_v aa_n dh_ih_s p_l_ae_n_ah_t l_ay_k w_iy k_ah_n l_iy_v dh_ih_s r_aa_k
c;97;this needs to stop Ill fight until I bleed out or drop;dh_ih_s n_iy_d_z t_ah s_t_aa_p ay_l f_ay_t ah_n_t_ih_l ay b_l_iy_d aw_t ao_r d_r_aa_p
b;98;be da bop x4;b_iy d_ae b_aa_p eh_k_s_ae
q;99;its almost like no matter what they couldn-t give a shit if were pleased or;ih_t_s ao_l_m_ow_s_t l_ay_k n_ow m_ae_t_er w_ah_t dh_ey k_uh_d_n_t g_ih_v ah sh_iy_t ah_f w_iy_r p_l_iy_z_d ao_r
n;100;not;n_ax_t
c;101;this needs to stop Ill fight until I bleed out or drop;dh_ih_s n_iy_d_z t_uw s_t_aa_p ay_l f_ay_t ah_n_t_ih_l ay b_l_iy_d aw_t ao_r d_r_aa_p
