Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;43;flow so funky I should be giving them jazz lessons;f_l_ow s_ow f_ah_ng_k_iy ay sh_uh_d b_iy g_ih_v_ih_ng dh_eh_m jh_ae_z l_eh_s_ah_n_z
s;44;letterman jacket Im balling out on my class with it;l_eh_t_er_m_ah_n jh_ae_k_ah_t ay_m b_ao_l_ih_ng aw_t aa_n m_ay k_l_ae_s w_ih_dh ih_t
a;45;i hit the stage and move bodies like bad pivots;ay hh_ih_t dh_ah s_t_ey_jh ah_n_d m_uw_v b_aa_d_iy_z l_ay_k b_ae_d p_ih_v_ah_t_s
a;46;wicked;w_ih_k_ah_d
t;47;tell em hold up Imma roll up;t_eh_l eh_m hh_ow_l_d ah_p I_m_ae r_ow_l ah_p
u;48;with the homies with soldiers;w_ih_dh dh_ah hh_aa_m_ah_er_s w_ih_dh s_ow_l_jh_er_z
b;49;we focused I told ya;w_iy f_ow_k_ah_s_t ay t_ow_l_d y_aa
g;50;we high off them dreams;w_iy hh_ay ao_f dh_eh_m d_r_iy_m_z
d;51;when I get tracks I don-t back track;w_eh_n ay g_eh_t t_r_ae_k_s ay d_ow_n_t b_ae_k t_r_ae_k
d;52;got a few raps for the backpacks;g_aa_t ah f_y_uw r_ae_p_s f_ao_r dh_ah b_ae_k_p_ae_k_s
b;53;get a (click-clack) blat blat blat;g_eh_t ah k_l_ih_k_k_l_ae_k b_l_aa_t b_l_aa_t b_l_aa_t
g;54;then right off the scene;dh_eh_n r_ay_t ao_f dh_ah s_iy_n
c;55;wait;w_ey_t
w;56;im so realer;ay_m s_ow r_iy_l_l
g;57;i grew up with bangers pimps and dope dealers;ay g_r_uw ah_p w_ih_dh b_ae_ng_er_z p_ih_m_p_s ah_n_d d_ow_p d_iy_l_er_z
a;58;i done traveled all around to give em something to hear;ay d_ah_n t_r_ae_v_ah_l_d ao_l er_aw_n_d t_uw g_ih_v eh_m s_ah_m_th_ih_ng t_uw hh_ih_r
x;59;im trying to tell you its not a flow imler;ay_m t_r_ay_ih_ng t_uw t_eh_l y_uw ih_t_s n_ax_t ah f_l_ow ih_m_l_ah_l
y;60;im a;ay_m ah
a;62;audio killer;aa_d_iy_ow k_ih_l_er
a;64;audio killer;aa_d_iy_ow k_ih_l_er
a;66;audio killer;aa_d_iy_ow k_ih_l_er
a;68;audio killer;aa_d_iy_ow k_ih_l_er
b;70;audio;aa_d_iy_ow
h;72;i think they heard it cause Im a versatile dude;ay th_ih_ng_k dh_ey hh_er_d ih_t k_aa_z ay_m ah v_er_s_ah_t_ah_l d_uw_d
z;74;im so fortunate to be in his will I don-t spend nothing unless Im;ay_m s_ow f_ao_ch_ax_n_ax_t t_uw b_iy ih_n hh_ih_z w_ah_l ay d_ow_n_t s_p_eh_n_d n_ah_th_ih_ng ah_n_l_eh_s ay_m
h;75;purchasing a vowel fool;p_er_ch_ah_s_ih_ng ah v_aw_ah_l f_uw_l
x;76;surfing through the crowd searching every smile;s_er_f_ih_ng th_r_uw dh_ah k_r_aw_d s_er_ch_ih_ng eh_v_er_iy s_m_ay_l
i;77;burning every foe mercenary down;b_er_n_ih_ng eh_v_er_iy f_ow m_er_s_ah_n_eh_r_iy d_aw_n
h;78;churches where the sound booms;ch_er_ch_ah_z w_eh_r dh_ah s_aw_n_d b_uw_m_z
i;79;lurking in your town verbally astound;l_er_k_ih_ng ih_n y_ao_r t_aw_n v_er_b_ae_l_iy ah_s_t_aw_n_d
y;80;working with the;w_er_k_ih_ng w_ih_dh dh_ah
i;81;blow your mind like the burner in your mouth;b_l_ow y_ao_r m_ay_n_d l_ay_k dh_ah b_er_n_er ih_n y_ao_r m_aw_th
d;82;im that dude that;ay_m dh_ae_t d_uw_d dh_ae_t
a;83;keep it cooler than your ventilation system;k_iy_p ih_t k_uw_l_er dh_ae_n y_uh_r v_eh_n_t_ah_l_ey_sh_ah_n s_ih_s_t_ah_m
a;84;they say that gambling against the Scripture;dh_ey s_ey dh_ah_t g_ae_m_b_l_ih_ng ah_g_eh_n_s_t dh_ah s_k_r_ih_p_ch_er
f;85;when I spit it I can make the alphabet that Imma kill em;w_eh_n ay s_p_ih_t ih_t ay k_ah_n m_ey_k dh_ah ae_l_f_ah_b_eh_t dh_ae_t I_m_ae k_ih_l eh_m
s;86;if I give em a hand they gon turn around put a nail through it;ah_f ay g_ih_v eh_m ah hh_ae_n_d dh_ey g_aa_n t_er_n er_aw_n_d p_uh_t ah n_ey_l th_r_uw ih_t
h;87;so much fire Hell owe me like Adele music;s_ow m_ah_ch f_ay_er hh_eh_l ow m_iy l_ay_k ah_d_eh_l m_y_uw_z_ih_k
h;88;audio murderer get prepared for the funeral;aa_d_iy_ow m_er_d_er_er g_eh_t p_r_iy_p_eh_r_d f_ao_r dh_ah f_y_uw_n_er_ah_l
h;89;when Im spitting all the children say ten like Lucifer;w_eh_n ay_m s_p_ih_t_ih_ng ao_l dh_ah ch_ih_l_d_r_ah_n s_ey t_eh_n l_ay_k l_uw_s_ah_f_er
l;90;im a;ay_m ah
a;92;audio killer;aa_d_iy_ow k_ih_l_er
a;94;audio killer;aa_d_iy_ow k_ih_l_er
a;96;audio killer;aa_d_iy_ow k_ih_l_er
a;98;audio killer;aa_d_iy_ow k_ih_l_er
b;100;audio;aa_d_iy_ow
